"","lx","ly","lz","alt","azi","room","storey","wrap","abs_wall","abs_roof","shgc","u_window","vf","app","wwr_1","t","op","wwr_2","bound_s","bound_e","bound_n","bound_w"
"1",5.955078125,3.740234375,3.81494140625,37.373046875,90,"dorm","floor","sf",0.55068359375,0.24853515625,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"2",8.662109375,3.740234375,3.81494140625,37.373046875,90,"dorm","floor","sf",0.55068359375,0.24853515625,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"3",5.955078125,14.955078125,3.81494140625,37.373046875,90,"dorm","floor","sf",0.55068359375,0.24853515625,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"4",5.955078125,3.740234375,3.20654296875,37.373046875,90,"dorm","floor","sf",0.55068359375,0.24853515625,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"5",5.955078125,3.740234375,3.81494140625,59.384765625,90,"dorm","floor","sf",0.55068359375,0.24853515625,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"6",5.955078125,3.740234375,3.81494140625,37.373046875,180,"dorm","floor","sf",0.55068359375,0.24853515625,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"7",5.955078125,3.740234375,3.81494140625,37.373046875,90,"dorm","floor","sf",0.55068359375,0.24853515625,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"8",5.955078125,3.740234375,3.81494140625,37.373046875,90,"dorm","inter","sf",0.55068359375,0.24853515625,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"9",5.955078125,3.740234375,3.81494140625,37.373046875,90,"dorm","floor","sf",0.55068359375,0.24853515625,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"10",5.955078125,3.740234375,3.81494140625,37.373046875,90,"dorm","floor","sf",0.57802734375,0.24853515625,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"11",5.955078125,3.740234375,3.81494140625,37.373046875,90,"dorm","floor","sf",0.55068359375,0.60810546875,0.17646484375,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"12",5.955078125,3.740234375,3.81494140625,37.373046875,90,"dorm","floor","sf",0.55068359375,0.24853515625,0.91650390625,3.34111328125,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"13",5.955078125,3.740234375,3.81494140625,37.373046875,90,"dorm","floor","sf",0.55068359375,0.24853515625,0.17646484375,2.63212890625,0.4966796875,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
"14",5.955078125,3.740234375,3.81494140625,37.373046875,90,"dorm","floor","sf",0.55068359375,0.24853515625,0.17646484375,3.34111328125,0.9876953125,"w",0.25048828125,"11","s",0,"outdoors","adiabatic","adiabatic","living"
