"","liv","dorm"
"1",0,2
"2",0,2
"3",0,2
"4",0,2
"5",0,2
"6",0,2
"7",0,2
"8",0,2
"9",0,2
"10",0,2
"11",0,2
"12",0,2
"13",0,2
"14",0,2
"15",0,2
"16",0,2
"17",0,2
"18",0,2
"19",0,2
"20",0,2
"21",0,2
"22",0,2
"23",0,2
"24",0,2
"25",0,2
"26",0,2
"27",0,2
"28",0,2
"29",0,2
"30",0,2
"31",0,2
"32",0,2
"33",0,2
"34",0,2
"35",0,2
"36",0,2
"37",0,2
"38",0,2
"39",0,2
"40",0,2
"41",0,2
"42",0,2
"43",0,2
"44",0,2
"45",0,2
"46",0,2
"47",0,2
"48",0,2
"49",0,0
"50",0,0
"51",0,0
"52",0,0
"53",0,0
"54",0,0
"55",0,0
"56",0,0
"57",0,0
"58",0,0
"59",0,0
"60",0,0
"61",0,0
"62",0,0
"63",0,0
"64",0,0
"65",0,0
"66",0,0
"67",0,0
"68",0,0
"69",0,0
"70",0,0
"71",0,0
"72",0,0
"73",0,0
"74",0,0
"75",0,0
"76",0,0
"77",0,0
"78",0,0
"79",0,0
"80",0,0
"81",0,0
"82",0,0
"83",0,0
"84",0,0
"85",2,0
"86",2,0
"87",2,0
"88",2,0
"89",2,0
"90",2,0
"91",2,0
"92",2,0
"93",2,0
"94",2,0
"95",2,0
"96",2,0
"97",2,0
"98",2,0
"99",2,0
"100",2,0
"101",2,0
"102",2,0
"103",2,0
"104",2,0
"105",2,0
"106",2,0
"107",2,0
"108",2,0
"109",4,0
"110",4,0
"111",4,0
"112",4,0
"113",4,0
"114",4,0
"115",4,0
"116",4,0
"117",4,0
"118",4,0
"119",4,0
"120",4,0
"121",4,0
"122",4,0
"123",4,0
"124",4,0
"125",4,0
"126",4,0
"127",4,0
"128",4,0
"129",4,0
"130",4,0
"131",4,0
"132",4,0
"133",0,2
"134",0,2
"135",0,2
"136",0,2
"137",0,2
"138",0,2
"139",0,2
"140",0,2
"141",0,2
"142",0,2
"143",0,2
"144",0,2
"145",0,2
"146",0,2
"147",0,2
"148",0,2
"149",0,2
"150",0,2
"151",0,2
"152",0,2
"153",0,2
"154",0,2
"155",0,2
"156",0,2
"157",0,2
"158",0,2
"159",0,2
"160",0,2
"161",0,2
"162",0,2
"163",0,2
"164",0,2
"165",0,2
"166",0,2
"167",0,2
"168",0,2
"169",0,2
"170",0,2
"171",0,2
"172",0,2
"173",0,2
"174",0,2
"175",0,2
"176",0,2
"177",0,2
"178",0,2
"179",0,2
"180",0,2
"181",0,2
"182",0,2
"183",0,2
"184",0,2
"185",0,2
"186",0,2
"187",0,2
"188",0,2
"189",0,2
"190",0,2
"191",0,2
"192",0,2
"193",0,0
"194",0,0
"195",0,0
"196",0,0
"197",0,0
"198",0,0
"199",0,0
"200",0,0
