"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year",384.4,43.3,85.4,153,42.1,28.9,19.3,62.6,-85.1,8.5,0,-553.2,0,-17.5,0,70.9,"E","Dorm. N","Curitiba","Hyp.","SF","Base"
"year1",385.4,80.9,27.3,68.3,-6.2,8.5,30.1,35.8,-92,9.7,0,-458.9,0,-14.6,0,59.7777777777778,"E","Dorm. S","Curitiba","Hyp.","SF","Base"
"year2",762.4,219,174.3,439.6,85.9,99.3,94.2,160.1,-121,75.7,0,-1539,0.3,-25.9,0,123.44,"E","Living","Curitiba","Hyp.","SF","Base"
"year3",393.9,66.6,138.6,254.1,85.8,77.6,37.4,53.3,-112.5,11.7,0,-713.7,0.1,-20.8,0,66.875,"NE","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year4",393.8,65,141.9,285.2,67.2,85.2,27,105.8,-108.9,11.5,0,-751.3,0.1,-19.1,0,70.1583333333333,"NE","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year5",786.6,336.3,171,601.7,176.4,0,118.4,154.6,-133.5,98.2,0,-1869.6,1,-22.5,0,109.275,"NE","Living","Curitiba","Hyp.","SF","Base"
"year6",393.9,65.8,141.7,258,87,57.7,38.3,75,-112.6,14.6,0,-723.7,0.1,-20.9,0,67.6666666666667,"NW","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year7",393.8,63.7,145.5,292.1,68.1,111.6,27.5,84.9,-109.2,13.2,0,-762.6,0.1,-19.2,0,71.0583333333333,"NW","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year8",786.4,325.9,331.9,703.3,206.3,183.3,142.2,0,-134.5,106.3,0,-2120.3,1,-23.4,0,122.09,"NW","Living","Curitiba","Hyp.","SF","Base"
"year9",394.7,116.1,54.8,148.5,2.9,46.5,63.2,35.8,-120.9,8.6,0,-577.1,0,-17.5,0,55.025,"SE","Dorm. 1","Curitiba","Hyp.","SF","Base"
