"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year10",394.4,114.1,59.8,173.3,2.8,54.2,50.2,66.2,-117.5,8.9,0,-609.6,0.1,-16.1,0,57.9,"SE","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year11",787.5,308.9,148.4,391.2,56.3,0,130.2,102.3,-171.5,61.1,0,-1513.4,0.4,-21.6,0,90.855,"SE","Living","Curitiba","Hyp.","SF","Base"
"year12",394.6,116,55.4,149.8,3.2,36.4,63.5,46.7,-120.8,8.7,0,-579,0,-17.5,0,55.1916666666667,"SW","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year13",394.4,114.1,59.9,173.3,2.8,66.5,50.2,53.9,-117.5,8.9,0,-609.7,0.1,-16.1,0,57.9083333333333,"SW","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year14",787.5,309.2,148.8,392.4,56.6,103.6,130.5,0,-171.4,61.2,0,-1515.6,0.4,-21.6,0,90.97,"SW","Living","Curitiba","Hyp.","SF","Base"
"year15",384.3,42.4,89.7,166,43.2,68.2,20.4,34.1,-85.2,8.8,0,-566.4,0,-17.7,0,72.2666666666667,"W","Dorm. N","Curitiba","Hyp.","SF","Base"
"year16",385.3,80.1,31.3,82.5,-4.8,37.8,31.4,18.1,-92.2,10,0,-472.6,0,-15,0,61.2666666666667,"W","Dorm. S","Curitiba","Hyp.","SF","Base"
"year17",762.3,303.1,238.4,670.5,123.8,237.1,130.6,179,-96.4,105.3,0,-1995.5,0.5,-18.1,0,153.966666666667,"W","Living","Curitiba","Hyp.","SF","Base"
"year18",382.9,234.6,158.9,558.9,120.7,163.8,113.9,160.6,-5,30.8,0,-1319,0.8,-4,0,158.955555555556,"E","Dorm. N","Rio de Janeiro","Hyp.","SF","Base"
"year19",383.3,269.1,92.3,451.2,82.9,138.8,104.5,124.9,-11.7,31.5,0,-1200.5,0.8,-7.3,0,146.666666666667,"E","Dorm. S","Rio de Janeiro","Hyp.","SF","Base"
"year20",760.8,475.7,315.2,878.3,157.1,257,165.9,298.3,11.7,139.9,0,-2610.8,1.4,-5.2,0,198.28,"E","Living","Rio de Janeiro","Hyp.","SF","Base"
"year21",392.7,334,229,674,214.5,170.2,160.2,129.1,-3,33.4,0,-1615.7,1,-4.3,0,144.341666666667,"NE","Dorm. 1","Rio de Janeiro","Hyp.","SF","Base"
"year22",392.7,334.7,224.9,686,160.1,188.4,109.2,228.3,-2.2,32,0,-1624.9,1.1,-4,0,145.2,"NE","Dorm. 2","Rio de Janeiro","Hyp.","SF","Base"
"year23",785.2,696.4,295,1027.5,293.7,0,244.9,246.4,37.4,156.7,0,-3053.8,1.8,-6.4,0,170.79,"NE","Living","Rio de Janeiro","Hyp.","SF","Base"
"year24",392.7,333.4,231.9,678.5,215.6,131.7,161.1,170.1,-3.3,35.8,0,-1626.6,1,-4.4,0,145.2,"NW","Dorm. 1","Rio de Janeiro","Hyp.","SF","Base"
"year25",392.7,333.6,228.5,693.1,161.1,229.5,109.8,192.7,-2.6,34.1,0,-1637.8,1.1,-4,0,146.225,"NW","Dorm. 2","Rio de Janeiro","Hyp.","SF","Base"
"year26",784.8,696.3,488.2,1150.2,330.2,278,274.2,0,37.1,167.6,0,-3367.7,1.8,-7,0,186.79,"NW","Living","Rio de Janeiro","Hyp.","SF","Base"
"year27",393.2,381.8,132.5,541.4,117.1,133.3,185.3,105.7,-11.2,28.3,0,-1447.2,1.1,-6.5,0,131.283333333333,"SE","Dorm. 1","Rio de Janeiro","Hyp.","SF","Base"
"year28",393.2,383.8,130.5,545,79,150.8,138.4,176.8,-10.4,28.6,0,-1452.8,1.3,-6.1,0,131.825,"SE","Dorm. 2","Rio de Janeiro","Hyp.","SF","Base"
"year29",786.2,668.8,273.7,802.1,177.5,0,245.6,188.7,-3.2,115.7,0,-2668.8,7.8,-6.2,0,153.515,"SE","Living","Rio de Janeiro","Hyp.","SF","Base"
"year30",393.2,382.4,132.4,540.9,117.2,105.5,185.3,132.9,-11.1,28.3,0,-1447.3,1.1,-6.5,0,131.3,"SW","Dorm. 1","Rio de Janeiro","Hyp.","SF","Base"
"year31",393.2,383.8,130.4,545,78.9,176.6,138.4,151,-10.4,28.6,0,-1452.7,1.3,-6.1,0,131.816666666667,"SW","Dorm. 2","Rio de Janeiro","Hyp.","SF","Base"
"year32",786.2,669.3,273.9,803.1,177.7,190,245.9,0,-3.1,115.7,0,-2670.9,7.8,-6.2,0,153.625,"SW","Living","Rio de Janeiro","Hyp.","SF","Base"
"year33",382.9,238.6,161.6,555.6,118.6,161.8,114.6,160.6,-3.7,29.3,0,-1315.4,0.8,-3.8,0,158.388888888889,"W","Dorm. N","Rio de Janeiro","Hyp.","SF","Base"
"year34",383.3,274.8,94.3,448.7,83.4,125.4,102.7,137.2,-10.8,29.6,0,-1197.2,0.8,-7.6,0,146.155555555556,"W","Dorm. S","Rio de Janeiro","Hyp.","SF","Base"
"year35",760.8,592.2,346.3,1082,191,367.3,199.2,324.6,38.6,169.6,0,-3052,0.8,-3.6,0,227.526666666667,"W","Living","Rio de Janeiro","Hyp.","SF","Base"
"year36",383.6,104.1,115.6,307.2,71.9,81.2,54.2,99.9,-52,17.1,0,-841.5,0.3,-9.7,0,104.211111111111,"E","Dorm. N","São Paulo","Hyp.","SF","Base"
"year37",384,138.9,58.2,219.7,29.2,61.5,58.8,70.2,-57.4,18,0,-739,0.1,-14.9,0,92.6,"E","Dorm. S","São Paulo","Hyp.","SF","Base"
"year38",761.7,299.3,240,630.5,117.2,167.5,125.2,220.5,-64.2,102.7,0,-1974.5,0.4,-14,0,152.98,"E","Living","São Paulo","Hyp.","SF","Base"
"year39",393.4,155.1,174.5,409.7,133.4,112.1,82.1,82,-66.9,20,0,-1050.5,0.4,-11,0,95.8166666666667,"NE","Dorm. 1","São Paulo","Hyp.","SF","Base"
"year40",393.4,155,174.6,434.4,101.6,123.2,56.9,152.7,-64.4,19.1,0,-1077.4,0.4,-10.2,0,98.1166666666667,"NE","Dorm. 2","São Paulo","Hyp.","SF","Base"
"year41",786.1,449.6,224.3,764,220.9,0,166.5,190.4,-64.6,120,0,-2307.8,2.7,-12.5,0,131.795,"NE","Living","São Paulo","Hyp.","SF","Base"
"year42",393.4,154.5,177.2,413.4,134.5,84.9,82.8,111.2,-67,22.4,0,-1059.9,0.4,-11.1,0,96.55,"NW","Dorm. 1","São Paulo","Hyp.","SF","Base"
"year43",393.4,153.8,178,440.9,102.5,154.9,57.4,126.1,-64.7,20.9,0,-1088.8,0.4,-10.2,0,99.0083333333333,"NW","Dorm. 2","São Paulo","Hyp.","SF","Base"
"year44",785.8,444.8,390.6,869.7,252.2,218.1,191.5,0,-65.3,129,0,-2573.5,2.7,-13.2,0,145.355,"NW","Living","São Paulo","Hyp.","SF","Base"
"year45",393.8,202.5,90.8,300,47.7,80.4,109.2,62.7,-73.3,15.9,0,-904.3,0.1,-15.8,0,83.5,"SE","Dorm. 1","São Paulo","Hyp.","SF","Base"
"year46",393.8,202.9,92.6,317.1,32.8,91.3,83.6,109.4,-70.9,16.3,0,-927.7,0.1,-14.6,0,85.4916666666667,"SE","Dorm. 2","São Paulo","Hyp.","SF","Base"
"year47",787,427.7,205.2,561.9,106.9,0,177.4,138.7,-98.5,83.2,0,-1960,1.3,-18.5,0,113.995,"SE","Living","São Paulo","Hyp.","SF","Base"
"year48",393.8,202.9,90.8,299.9,47.8,62.7,109.3,80,-73.2,16,0,-904.7,0.1,-15.8,0,83.5416666666667,"SW","Dorm. 1","São Paulo","Hyp.","SF","Base"
"year49",393.8,202.9,92.6,317.1,32.8,109.3,83.6,91.4,-70.9,16.3,0,-927.7,0.1,-14.6,0,85.4916666666667,"SW","Dorm. 2","São Paulo","Hyp.","SF","Base"
"year50",787,428.1,205.4,562.7,107.1,139.6,177.7,0,-98.4,83.2,0,-1961.6,1.3,-18.5,0,114.075,"SW","Living","São Paulo","Hyp.","SF","Base"
"year51",383.6,107,117.7,307.9,70.8,102.3,54.9,80,-51.2,16.1,0,-843.2,0.3,-9.5,0,104.255555555556,"W","Dorm. N","São Paulo","Hyp.","SF","Base"
"year52",384,143.1,59.6,221.5,29.8,71.1,57.8,62.8,-56.8,16.8,0,-740.6,0,-15.4,0,92.6777777777778,"W","Dorm. S","São Paulo","Hyp.","SF","Base"
"year53",761.8,388.7,267.6,799.5,145.5,276.7,152.6,224.6,-44.4,126.1,0,-2332.6,1.4,-7.6,0,176.953333333333,"W","Living","São Paulo","Hyp.","SF","Base"
"year54",384.6,41.8,42.4,125.2,35.5,22.8,13.9,53,-83.5,7.4,0,-484.6,0,-15.8,0,63.0444444444444,"E","Dorm. N","Curitiba","Hyp.","SF","Simp."
"year55",385,68,29.3,65.7,-6.5,8.7,28.7,34.9,-92.2,8.8,0,-444.6,0,-12.9,0,58.2777777777778,"E","Dorm. S","Curitiba","Hyp.","SF","Simp."
"year56",762.3,213.4,154.7,464.7,86,99.4,92,187.4,-118.4,52,0,-1513.3,0.3,-21.9,0,121.773333333333,"E","Living","Curitiba","Hyp.","SF","Simp."
"year57",394.1,61.4,74.4,224.2,81.6,66.3,29.3,47.1,-111,11.5,0,-617.9,0,-19.3,0,58.5416666666667,"NE","Dorm. 1","Curitiba","Hyp.","SF","Simp."
"year58",394,60.2,78.1,252.7,64.7,75.9,21.7,90.3,-107.1,11.3,0,-653.8,0,-17.7,0,61.6833333333333,"NE","Dorm. 2","Curitiba","Hyp.","SF","Simp."
