"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year",395.4,109.3,37.2,-103.3,25.5,-132.2,-72.6,76,-67,6.6,14.9,-366.7,0.3,-16.8,14.9,46.6777777777778,"E","Dorm. N","Curitiba","Hyp.","C10","Base"
"year1",402.5,48.3,-1.5,-156.1,-137.4,-97.7,47.2,31.8,-68.9,8.1,32.7,-252.8,0.1,-14.5,32.7,32.5888888888889,"E","Dorm. S","Curitiba","Hyp.","C10","Base"
"year2",767.6,283.1,116.3,207,38.2,-68.8,90.2,147.5,-94.8,56.9,0.2,-1316.7,0.5,-31.3,0.2,107.46,"E","Living","Curitiba","Hyp.","C10","Base"
"year3",399.8,180.3,76,31.1,49.6,52.2,-106,35.2,-93.8,10.6,1.1,-574.9,0.5,-20.3,1.1,53.8333333333333,"NE","Dorm. 1","Curitiba","Hyp.","C10","Base"
"year4",397.4,193.2,85.7,129.3,35,51,-80.4,123.6,-94.7,10.4,0,-689.9,0.5,-19.7,0,64.2416666666667,"NE","Dorm. 2","Curitiba","Hyp.","C10","Base"
"year5",790,224.8,106,449.2,132.4,0,0,176.3,-112.8,77.4,0,-1544.8,2.2,-21.8,0,92.63,"NE","Living","Curitiba","Hyp.","C10","Base"
"year6",399.1,188.2,80.8,62,48.5,61.5,-109.1,61.2,-95.2,16.3,0.5,-624.1,0.5,-20.7,0.5,58.0333333333333,"NW","Dorm. 1","Curitiba","Hyp.","C10","Base"
"year7",397,200.5,90.1,154.6,34.1,117.1,-82.2,85.6,-95.8,14.6,0,-732.6,0.5,-20,0,67.775,"NW","Dorm. 2","Curitiba","Hyp.","C10","Base"
"year8",788.5,556.8,260.6,479,141.5,188.3,-1.4,0,-119.8,91.3,0,-2051.9,2.1,-24.4,0,118.92,"NW","Living","Curitiba","Hyp.","C10","Base"
"year9",406.8,78.5,20.9,-51.3,-190.1,20.3,86.1,32.3,-94.2,6.7,9.2,-358.6,0.2,-17.5,9.2,34.2666666666667,"SE","Dorm. 1","Curitiba","Hyp.","C10","Base"
