"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year",384.4,187.8,76.8,230.6,60.8,45.9,32.2,91.7,-97.6,11.1,0,-739.9,0,-25.5,0,92.0888888888889,"E","Dorm. N","Curitiba","Hyp.","SF","Base"
"year1",387.9,89.8,24.3,81.8,-4.7,9.8,35.2,41.4,-95.4,11.9,0,-474.3,0,-19.3,0,60.8444444444444,"E","Dorm. S","Curitiba","Hyp.","SF","Base"
"year2",762.1,401.1,186.8,566.1,108.7,133.3,122.4,201.7,-123.5,97.5,0,-1878.9,0.4,-38.2,0,146.933333333333,"E","Living","Curitiba","Hyp.","SF","Base"
"year3",393.6,282.2,128.4,362.8,121.6,109.4,59,72.9,-130.2,12.9,0,-991.1,0.1,-28.7,0,90.525,"NE","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year4",393.2,288.1,132.9,406.2,95.1,115.3,42,153.8,-126.8,12.8,0,-1048.5,0.1,-26.9,0,95.5166666666667,"NE","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year5",786.7,368.3,171.3,657.1,189.3,0,123.9,175,-136.7,120,0,-2014.6,1.7,-26,0,116.845,"NE","Living","Curitiba","Hyp.","SF","Base"
"year6",393.4,287.4,131.7,376.2,124.7,82.1,61.2,108.2,-131,19.3,0,-1022.3,0.1,-29,0,92.9916666666667,"NW","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year7",393.1,294.8,136.7,425.1,97.9,161.1,43.7,122.5,-127.8,18.3,0,-1085.8,0.1,-27.2,0,98.475,"NW","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year8",786.1,735.8,348.8,907.6,262.8,239.2,182.9,0,-145,139.3,0,-2797,1.7,-29.3,0,156.84,"NW","Living","Curitiba","Hyp.","SF","Base"
"year9",396.7,131.4,50.3,168,5.7,52.2,70.9,39.2,-125.8,8.8,0,-597.6,0,-22.1,0,56.3833333333333,"SE","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year10",395.8,136.2,54.7,195.2,4.9,59.3,56.1,75,-123.2,8.9,0,-636.4,0,-20.7,0,59.8833333333333,"SE","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year11",787.7,347.9,151.3,448.4,68.2,0,147.1,116.9,-168.8,72.1,0,-1636.4,0.4,-25.8,0,97.08,"SE","Living","Curitiba","Hyp.","SF","Base"
"year12",396.6,132,50.8,169.7,6.1,39.8,71.4,52.5,-125.8,8.9,0,-600.6,0,-22.1,0,56.6583333333333,"SW","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year13",395.8,136.2,54.7,195.4,4.9,75.4,56.1,59,-123.2,9,0,-636.6,0,-20.7,0,59.9083333333333,"SW","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year14",787.7,348.5,151.7,449.5,68.5,118.3,147.3,0,-168.7,72.2,0,-1638.7,0.4,-25.8,0,97.195,"SW","Living","Curitiba","Hyp.","SF","Base"
"year15",384.3,195.4,82.1,251.4,64.2,100.1,35,52.1,-97.3,12.5,0,-772.9,0,-25.6,0,95.6555555555556,"W","Dorm. N","Curitiba","Hyp.","SF","Base"
"year16",387.4,96.3,28.5,101.9,-1.9,45.3,38.4,20.1,-95.4,13,0,-502.6,0,-20.1,0,64.0555555555556,"W","Dorm. S","Curitiba","Hyp.","SF","Base"
"year17",762.3,532.1,244,785.5,144.6,275.7,157.2,207.9,-102.7,124.6,0,-2369.2,0.8,-20.4,0,179.433333333333,"W","Living","Curitiba","Hyp.","SF","Base"
"year18",382.1,346.7,161.4,634.5,137.7,181.8,128,187,-15.9,32.7,0,-1474.6,1.2,-7.1,0,177.6,"E","Dorm. N","Rio de Janeiro","Hyp.","SF","Base"
"year19",383.1,215.8,98.7,439.1,80.4,135.1,102.6,120.9,-14.7,31.8,0,-1132.4,0.8,-15.5,0,140.511111111111,"E","Dorm. S","Rio de Janeiro","Hyp.","SF","Base"
